,class,conversation
78,일반 대화,새내기 때부터 지금까지 쭉 친했어.그 친구랑 정말 잘 맞나보다.
79,일반 대화,그럼 의자는? 의자는 샀어? 그때 시디즈 사고 싶댔나?인테리어에는 별루지만 ㅋㅋ 허리를 위해 시디즈 의자는 사려고
80,일반 대화,아직 안겪어봐서 모르겠어ㅠㅠ맞아 이건 겪어봐야지 알수 있지
81,일반 대화,아니 그래도 이 노래는 초등학생 때 맨날 부르고 다녔던 거라고.난 어릴 때 케이팝만 들었어.
82,일반 대화,"하긴 겁 먹을 수는 있겠다.나도 백신 맞기는 했지만, 무서웠어."
83,일반 대화,ㅋㅋ 스펙란이 비워져 있는 게 넘 민망ㅋㅋ 다들 그러지 않을까
84,일반 대화,방역 업체를 불러보는 건 어때?그게 재개발 때문이라 시청에 민원을 넣어봤는데 주변 방역을 해도 안없어져
85,일반 대화,지금 언니 몸매보다 날씬하셔와 대단하시다 게으른 나는 서울 살이 해 보지도 못 하겠네/옴매 기죽어 ㅠㅠ
86,일반 대화,"대부분 반복된 실패 속에서 힘든 고난을 겪고 그 끝에 얻어낸 하나의 성공, 이런 게 나에게 감동을 주었어그렇구나… 나도 비슷한 거 같아"
87,일반 대화,오 그래도 그 유명한 노래는 알고있는걸 ㅋㅋ그건 워낙 유명해서 예능 이런데서도 막 나오잖아 ㅋㅋ
88,일반 대화,코인 세탁소? ㅋㅋ 거기 가는구나맞아 맞아 코인 세탁소 ㅋㅋ 거기 가 '
89,일반 대화,"아 당연하지 ㅋㅋ 나 법률 사무소랑, 특허 사무소, 노동법률 사무소 지원했어오오 진짜 여기저기 지원했네"
90,일반 대화,마라는 소울 푸드라고.나 어제 인터넷으로 마파두부 밀키트 샀어./충동구매 해버렸지 뭐야.
91,일반 대화,그럼 겨울이 제일 좋겠네?아니 가을이 옷을 다양하게 입을 수 있어서 좋아
92,일반 대화,웅 맞아 근데 사람이 하도 많아서 주말엔 안 나가 ㅋㅋ아 그래?/수원에서는 대중 교통 버스 많이 이용해?
93,일반 대화,어려운 거 아니야?오히려 이어폰으로 좋아하는 노래 틀어 놓고 집중하는 데에 좋더라고.
94,일반 대화,진짜 나도 그렇다 지금 딱 놀 때 가야 하는데ㅋㅋ 아니 이 좋은 날씨에 날마다 쉬는 기회가 아니라고 가야 하는데...
95,일반 대화,나 지금 부추전 먹는 중아 부추전 짱맛있겟다
96,일반 대화,양치승 관장이 핼스트레이너였네아 그분 당나귀귀?무슨 프로그램 나오시는 분이잖아 그분한테 피티 받으신 거구나
97,일반 대화,요즘에도 VJ 특공대 하나?티비를 안 본지 오래돼서 모르겠다
98,일반 대화,나는 나중에 아이가 있다면 풀밭에서 키우고 싶어자연에 풀어놓고 키우고 싶어?
99,일반 대화,ㅋㅋ 아 맞아 ㅋㅋ 나는 진실의 방으로~아 ㅋㅋ 진실의 방 그거 패러디도 했던 거 같은데 ㅋㅋ
100,일반 대화,그런데 키우고 싶지는 않나보다.응. 햄스터랑은 교감이 많이 힘들거같아.
101,일반 대화,집 앞에 상가건물 매물이 싸게 올라왔더라구그래도 청약통장 깨기엔 아까운데
102,일반 대화,그 떄가 그립다 ㅠㅠ 세기말 감성 ㅋㅋㅋㅋ 짱구는 그런 맛이지 하하/짱구 성인된것도 봤어?
103,일반 대화,언니는 화장품이 참 많아하하 언니가 메이크업에 관심이 있지 않나?
104,일반 대화,비 온다는 소식이 있던데 오고 나면 왠지 선선해질 거 같아안돼 비 오면 ㅠㅠ/오늘 비 온대?
105,일반 대화,"보통은 업무 적응 기간을 빌미로 3개월 정도를 수습 기간으로 많이 정해 놓잖아맞아, 그런데 고용 불안에 시달릴 수 있을 것 같아"
106,일반 대화,소개팅 안 할래? 소개팅 나갈 사람이 없냐 왜소개팅? 생각 없는데 왜
107,일반 대화,다른 사람 폰 같아ㅋㅋ 훈련 기간이 한 달인가?/한 달 만에 받아서 그런가 봐 ㅋㅋ
108,일반 대화,너 웹툰 유미의 세포 봤어?나 웹툰은 봤어!
109,일반 대화,안 간 지 오래라 잘 모르겠어 하하 오토바이 아니면 차 사고 싶다 ㅠ차는 나도 사고 싶다... 삶의 질이 올라간대
110,일반 대화,그래 차있으니까~ ㅋㅋㅋㅋ 아쉬울것같으면 다 넣어버림!
111,일반 대화,응 주로 메뉴 통일하거나 식단표대로 먹지그렇구나. 전국민 재택근무 하는 그날까지 힘내자 ㅋㅋ
112,일반 대화,DMZ 가봤어?아니 나는 안 가봤지.
113,일반 대화,이번에 대구로 여행을 가려는데 어때?난 좋지 대구가 근데 볼거리는 없어
114,일반 대화,어렵지 않아. 너도 잘 할수 있을걸?그래? 그럼 너가 알려주면 안돼?
115,일반 대화,맞아. 솔직히 그런 노력을 하는 선수들 모두 메달을 받을 자격이 충분하지.나도 그렇게 생각해./성적으로만 가를 수 없는 게 선수들의 노력인 것 같아.
116,일반 대화,우리 아기는 미용실 가봤어? ㅋㅋ웅 처음에 베냇머리 밀 때
117,일반 대화,좀 지저분하게 보여서 묶고 다녔어.이제 묶을 정도 길이가 됐구나.
118,일반 대화,와 일출 등산이라니 멋있다.아침 일찍 등산하는 어르신들이 대단해.
119,일반 대화,결혼 정보 회사에 대해 들어본 거 있어?당연하지 등급나눠서 결혼시켜주는 것이잖아
120,일반 대화,야 그러는 거 아니지 그 지인이랑 손절해 ㅋㅌㅋㅌ ㅋㅋ그래 손절각이다 끝내야지
121,일반 대화,오 ㅋㅋ 아 니는 안 하고? ㅋㅋ난 가르쳐 줘도 못하겠더라 ㅋㅋ
122,일반 대화,피부가 되게 촉촉하고 아침에 일어나면 엄청 보들거려오 나도 너처럼 해봐야겠네 하하 팩은 뭐 써?
123,일반 대화,저번주에 홈플러스에서 장봤더니...ㅋㅋ 아 나는 아직 홈플러스 장바구니 담아만 두고 ㅋㅋ 결제안했다
124,일반 대화,나? 나 끝났지 올해 돈 받았어오 ㅋㅋ 쩐다 받았구나
125,일반 대화,기념일 기념 사진을 찍어보는거야!오 전에 찍었던 거처럼?
126,일반 대화,아형 나와서 보는데 충격이네 ㅋㅋ아형 나온 거 ㅋㅋ/근데 한번 볼에 뭐 넣어서 어색한 때 있었는뎅
127,일반 대화,오 ㅋㅋ 그건 어디서 팔아?올리브영 가면 팔아 ㅋㅋ 인터넷에도 있고
128,일반 대화,들어보니까 아직도 연재중이라고 하더라와 진짜 오랫동안 연재하고 있네?
129,일반 대화,"ㅋㅋ 이런... 이미 심해진걸까?응, 혹시 모르니까 병원가서 진단 받아봐"
130,일반 대화,진짜 존귀탱이긴 하더라고 ㅋㅋ어떻게 그런 생각을 했지 ㅋㅋ 키울 거라는...
131,일반 대화,응 내 명작이야 ㅋㅋ우리 나이대 사람들은 다 좋아했던 애니메이션일거야.
132,일반 대화,그럼 나도 네 말 믿고 내일 다시 도전 해봐야겠다 하하그것도 재밌는데 비긴어게인도 엄청 재밌어
133,일반 대화,ㅋㅋ 진짜 개 무섭거든? 애기는 재워야 함개무섭다고? 완전 내 스탈이네
134,일반 대화,할배의 손주 사랑 하하 아주 마음이 흐뭇하구먼얼마나 기다리셨을까 시펑 ㅜㅜ
135,일반 대화,윽 ㅋㅋ아침부터 앞머리 축 늘어지고 난리지머리 떡지고 난리가 나 아주 그냥
136,일반 대화,그런가 엄청 비싸 그 대신 입장료가...아... 양 카페면 뭔가 비쌀 거 같긴 해 ㅠㅠ 얼마야?
137,일반 대화,업무가 너무 걱정이야.힘내 옆에서 항상 널 응원할게.
138,일반 대화,첫 차로는 중고차가 좋겠지?그건 사람마다 조금은 다를 것 같아/새 차도 매력이 있어
139,일반 대화,그치... 대출도 받아서 매매로 가야 하지 않을까?!전세로 시작하는 친구들도 많으니까 매매면 진짜 잘 알아봐야지 ㅠㅠ
140,일반 대화,"사실은 반쯤 운으로 찾았어. 시작 화면에서 렉이 걸렸는지 안넘어 가길래 막 클릭을 했거든?응, 시작 화면에도 이스터에그가 있었어? 몰랐는데."
141,일반 대화,내 친구가 특히 아쉬워했지.주말에 대관해서 연습해.
142,일반 대화,부산에서 운전 마스터하면 서울에서는 운전 발로 해도 되겠어.운전은 원래 발로 하는거야.
143,일반 대화,나도 ㅋㅋ 그래서 쉴 때 접시 만들기 향수? 이런 거 많이 해나 접시는 안 만들어봤는데 ㅠㅠ/도자기 이쪽으로 가야 하지?
144,일반 대화,너희들은 학원 안다녀?나는 교과서 위주로 해도 전교 1등이라...
145,일반 대화,아 미안 오빠 있는걸 깜빡해버렸네 ㅋㅋㅋㅋ 근데 우리오빠도 나름 아빠랑 둘이 노래방도 가고 그랬데 ㅋㅋ
146,일반 대화,독촉해도 안 주니까 문제지.가족이라 신고할 수도 없고.
147,일반 대화,ㅋㅋ 그니깐 다시 생각해도 너무 웃기고 순수 그 자체ㅋㅋ 나는 오로지 피시겜만 했는데 ㅜㅜ
148,일반 대화,예전에 호주에도 산불 엄청 심각하게 나지 않았나.건조하면 불 끄기가 진짜 쉽지 않겠어./맞아/호주도 산불 엄청 심각했었지!/그때 4개월 동안 진압이 안 됐었다고 본 거 같은데...
149,일반 대화,오 완전 할머니 손맛이네 하하맞아 할머니가 직접 된장을 담으셔서
150,일반 대화,쿠팡 단한번도 이용안해봄너그때하지않앗나
151,일반 대화,한번쯤은 해볼만 하다고 생각해 ㅋㅋ근데 처음 하는 거면 준비를 잘하고 가야 해
152,일반 대화,이번여름 겨울이불로 잘 이겨냄ㅋㅋ 나도 겨울이불 덮고 잔다 ㅋㅋ 극세사 ㅜㅜ 여름에도 ㅋㅋ
153,일반 대화,나는 사이즈도 컸으면 좋겠지만 수압도 더 강하게 나오는 게 가지고 싶어수압이 강한 샤워기로 샤워하면 매우 상쾌한 기분이 들지
154,일반 대화,음... 넘 비싸서 사람들이 못삼음... (과연)
155,일반 대화,제발 계속 봐주라 정말 좋은 웹툰이야같이 살게되는것 까지 봤어
156,일반 대화,응 그런데 가격을 어떻게 책정해야 될지 모르겠네일단 사이트에서 같은 책이 올라와 있는지 봐봐!
157,일반 대화,이 계절에 넘 필요템 ㅋㅋㅋㅋ 다른 거 시중에 나온 거 좋은 거 많어.../걍 올리브영 가셈\
158,일반 대화,그런 부분도 있지만 대학교 때 대학에서만 누릴 수 있는 것들은 많이 안 누렸던 게 아쉬워언니는 학교 생활을 열심히 하지 않았어?
159,일반 대화,겨울에도 서핑 여행 할 수 있다는 거.내가 이번에 하고 후기 알려 줄께/같이 가자
160,일반 대화,점심 먹으러 밖으로 나가?웅 우리는 식당 없어서 나가서 사 먹어!
161,일반 대화,근데 비싸 체외충격파... ㅜㅜ아아... 비싼만큼 효과 좋겠죠?
162,일반 대화,이번 달 신메뉴도 나왔던데 치즈고구마?아 진짜? 인절미 아닌가/그건 지났나 ㅋㅋ
163,일반 대화,대학교는 진짜 온라인으로 수업하면 등록금 너무 아까울것같아맞아 도서관가서 에어콘 빵빵하게 틀고 공부하는것도 아니고 애들이랑 동아리실에서 취미활동도 못하는데 돈은 똑같이 내고
164,일반 대화,상황을 모면하려고 거짓말을 하는 건 아니구나응응 맞아 그래서 화도 안나는 것 같아
165,일반 대화,어디서 해 본 거야?한강 가서 탔는데 학교 수업이었어
166,일반 대화,어 우리팀에 계약직 한 명이 나갔어헐 갑자기 말도 없이?
167,일반 대화,넌 그 운동 안 했으면 좋겠는데 언제 멈춰?난 이미 진즉에 멈추고 매일 걷기 뛰기 운동하잖아
168,일반 대화,배려심이 깊구나아니야 피는 것도 사실은 너무 미안해
169,일반 대화,강아지가 가방 위에 누워있네여 하하강아지 귀여워요 ㅠㅠ
170,일반 대화,우리 아파트 전세가 벌써 오억이래뭐? 미친 거 아니야?/왜 이렇게 올랐어
171,일반 대화,오늘 날씨가 어떠려나?오늘 너무 추워 콧물 난당ㅠㅠ
172,일반 대화,아 진짜? 나는 두마리 다 싫어해서 못 보내그럼 너희집 강아지들은 유치원 안 보내는게 낫겠다
173,일반 대화,디즈니 랜드도 너무 아쉬워나도 디즈니랜드는 못 가봤어 ㅠㅠ/난 홍콩 홍콩!
174,일반 대화,"반려동물 키우는 것도 아기 키우는 거랑 똑같은 거 같아.맞아 다 책임져야 하고 시간, 돈, 노력을 써야하는 일이니까."
175,일반 대화,"그랬는데, 내가 몰래 여사친 만나다가 여자친구한테 걸려서... 여자친구가 울면서 헤어지자고 하더라.아이고... 왜 그랬어 ㅠㅠ/여자친구 입장이 이해가서 더 슬프네"
176,일반 대화,근데 막내가 나한테 물어봐서 내가 어버버하다가 알려줌ㅠㅠ ㅋㅋ막내는 왜 동기한테 안물어보고 너한테 물어보지?/막내도 동기한테 업무 알려주라고 시킬때 같이 듣고있었던거 아니야?
177,일반 대화,맞어 장보러 가는길에 비오면 힘들지내내 안오다가 나갈때 오는거 진짜 싫을듯 ㅜ
178,일반 대화,나도 재수학원을 그쪽으로 다니긴 했구나.맞아 대형 학원 본원은 거의 다 강남에 있어.
179,일반 대화,그것도 맞아 난 머리도 많아서 엄청 오래 걸린다고 ㅠㅠ나 머리 엄청  없어짐 ㅠㅠ
180,일반 대화,내 깐부 오래 살아야 할텐데깐부 부롭다 나도 깐부 !
181,일반 대화,수급이 잘되는게 화이자라더라응 그렇다더라
182,일반 대화,아니 ㅋㅋ 한번 찾아봐야 할 것 같아그러면 내가 아는 곳으로 가자 ㅋㅋ
183,일반 대화,ㅋㅋ 맞다 니도 경찰서 갔었제맞다 ㅋㅋ 나도 갔었지... 처음으로
184,일반 대화,동물들도 우리가 사랑하는 것을 느끼지 않을까?아마 느낄 것 같아 동물들도 말을 다 알아 들어서 알 것 같아.
185,일반 대화,나도 그렇게 생각하긴 했는데 ㅋㅋ ㅠㅠ만약 그걸로 나았으면 벌써 약이 나왔을거 같아
186,일반 대화,맞아 간절기엔 조심해야되집에 청귤청 있잖아~ 감기예방에 좋대 자주 챙겨먹어
187,일반 대화,맞아 한 사람 오랜 시간 만나서 결혼하는 것도 되게 멋있는 사랑인데...그치...특히 첫사랑이랑 오래 사귀고 이어지는 결혼 너무 멋있지 않아?
188,일반 대화,응 만차일때 다른층가라고 안내하거나 자리 찾아주거나 그런거?오오~ 어떻게 구한거야? 알바몬 이런데서?
189,일반 대화,일단 막국수 면이 진~짜 대박 쫄깃쫄깃해비빔?
190,일반 대화,진짜 반팔 잘못 입었다가 얼어 죽을 뻔했어 난 ㅋㅋ비오니까 습해서 집은 덥고 밖은 춥고... 어려운 날씨야
191,일반 대화,2014년을 얘기하는 거야 혹시?중고등학생 때니까 아마 그 전 일거야.
192,일반 대화,마우스 어떤거 사용하고 있어?나는 삼성 마우스 사용하고 있어
193,일반 대화,에이 ㅋㅋ 이번 년도에 프로포즈 받을지도 모르잖아!아니 절대 그럴 일 없어 ㅠㅠ/그리고 나도 아직은 생각 없어서 괜찮아!
194,일반 대화,학습지? 문법 익히는데 학습지로 해도 되나?음 문제를 많이 풀면 문법도 익숙해지지 않을까?
195,일반 대화,요즘 되게 잘 나오네음 이름은 정확하게 모르겠는데 맞을 거야 ㅋㅋ/요즘 진짜 안되는 거 없더라 하하
196,일반 대화,그거 진짜 좋은 교육방식이 될 거 같아.고마워 네 아이도 참여할 수 있도록 할게.
197,일반 대화,나도 선물하나 줘야지~맞아 너도 널 위한 선물 하나 해!
198,일반 대화,어 ㅋㅋ 2018년엔가 완공이라고 하지 않았나?그거 타고 울산에 여행 가려고 했었는데 하하
199,일반 대화,너 두치와 뿌꾸 알아?응응 어릴 때 엄청 재밌게 봤었는데!
200,일반 대화,응. 시부모님 모신지 3년이나 됐대오래됐네. 요즘도 시댁살이 하는 집이 있다니
201,일반 대화,보치아는 이탈리아어로 공인데 신경장애 선수들을 위한 스포츠래아하 덕분에 지식이 쌓이는 것 같아. 고마워
202,일반 대화,여수 가는길이 엄청 멀거든!오호 그러면 시간 적 여유가 있을 때 가야되는 구나
203,일반 대화,진통제 너무 많이 먹으면 안좋다고 해서 참는 중이야근데 안먹는거보다 먹는게 낫대
204,일반 대화,오늘 서빙해야 해서 팔이 너무 아플 거 같아집 가서 팔도 한번 찜질해주고 누워서 L자 다리도 해!
205,일반 대화,여운이 장난 아니양그치 ㅋㅋ 나도 디피 영상 떠 있으면 무조건 그냥 봐 다 봤던 건데 보고 또 보고 ㅋㅋ
206,일반 대화,"응, 그래서 면접도 늦었지 뭐야. 그래도 이제는 경전철이 생겨서 날씨나 배차에 영향은 없어서 정말 다행인 것 같아그러게 말이야, 시간이 중요한 일 같은 경우에는 막히는 도로 보다는 지하철이 훨씬 안정적인 것 같아"
207,일반 대화,너는 올해 올림픽 봤어?올림픽 모든 종목을 챙겨서 보지는 못했어! 하지만 여자배구랑 남자축구 이렇게는 본거 같아!
208,일반 대화,푸짐해  뭐가할머니는 롯데리아를 원하셨어
209,일반 대화,요즘 핸드폰 게임 뭐가 재미있어?알잖아 나 핸드폰 게임 싫어하는 거
210,일반 대화,아니 나 코팩 안 한지 한 이년 넘었어.아 그래? 코팩 자주 하면 모공 넓어진 댔거든...
211,일반 대화,너 오늘자 런닝맨 봤어?아니 난 티비가 없단다 다시보기로 보지 ㅋㅋ
212,일반 대화,맞아 ㅋㅋ 그러면 알바 나랑 같이 갈래?알바? 무슨 알반데? 나 일하고 있어서 주말에 가능하면 할 수 있을 거 같아!
213,일반 대화,응 그래서 지금 지하철 타러 갈 거야! 내려서 연락할게~ㅋㅋ 웅 조심히 들어가고 ! 미끄럼 조심~
214,일반 대화,모두가 원빈이라할 때 난 생각않고 강동원파영화에 넘 잘생기게 나와
215,일반 대화,건강안챙기면 결국 돈임치과 다녀오면 양치 열심히해
216,일반 대화,그럼 회식비로 뭐 맛있는 거 사먹으라고 주고 그래 ?한번씩? 대리님이 거의 사주셧어 ㅋㅋ
217,일반 대화,최근에 고현정 봤어?아니아니 최근에 본 건 없는데 뭐 찍었어?
218,일반 대화,ㅋㅋ 마즘 마치 연어처럼그렇게 재미질 수가 없어 맞고는
219,일반 대화,나결국 내과가서약지엇음ㅜ.ㅜㅋㅋ  잘했다/초장에 약먹어야 흠...
220,일반 대화,좀 슬플 필요도 있고 그런 거야 인생은근데 이건 너무 슬픈걸 친구야 ㅠ
221,일반 대화,맞아. 국가대표 선수들 정말 멋있어.나도 그렇게 생각해.
222,일반 대화,ㅋㅋ 야 나두 ㅋㅋ 솔직히 내가 더 돈이 없는 걸맞아 그냥 효심으로 드리는 것이다 부모님 용돈은
