,class,conversation
125,일반 대화,아 스위트홈 과장님도 재밌다고 나한테 보라고~보라고 그렇게 강추했는데 아직 안봤다...아 ㅋㅋ 근데 나도 다는 못봄 ㅜㅜ/중단했는데 갑자기 영화화 되가지고; 다 못봤다...
126,일반 대화,오히려 대형견이 온화한 것 같아생각해 보면 그런 것 같기도 해
127,일반 대화,근데 춤 추다가 배에 힘을 빼버리면 엄청 웃겨.뭐가 웃기다는 거야?
128,일반 대화,응 선생님은 좋았는데 손가락에 피가 나서 안되겠더라피가 날 정도로 연습을 한 거야?
129,일반 대화,예상으로는 2~3군데는 갈 줄 알았는데 2군데 갔어.그래도 꽤 갔는데?
130,일반 대화,나 게임 접을까봐...왜? 잘하던 게임을 왜 접으려고?
131,일반 대화,나 다음 주에 서울로 상경하려고~ ㅋㅋ서울? 그럼 비행기 타고 올라가는 거야?
132,일반 대화,고등학교 졸업하고 바로 취직해서 25살 인가봐.그럼 군대는 다녀온 거야?
133,일반 대화,그래서 나는 PC방에 자주 가는 편이야나도 예전에는 많이 안갔는데 요즘은 서비스가 다양해져서 자주 가게 되더라
134,일반 대화,뭐가 달라! 정말 요상한 아이네 ㅋㅋ그치만 설명할 수 없는 다른 류라고~!
135,일반 대화,나도 이디야 연유콜드부르라떼 아니면 아이스아메리카노로... 신메뉴는 노...그니까... 전에 뭐지 옥수수 들어간 그거는 나름... 뭐 한번 먹을만했는데 ㅋㅋ 밭두렁 같은거 씹히는... 달아 ㅜ
136,일반 대화,오 그래도 첫 출근까지 일주일 남았네응 ㅋㅋ 일주일동안 볼 일 다 봐놔야지
137,일반 대화,보드게임 하나 진짜 가져갈까?우리 집에 젠가가 있긴 한데...
138,일반 대화,우리 아파트 네이밍 변경해서 이번달부터 공사한다네구청에 먼저 신고하는게 아니고?
139,일반 대화,너는 할 생각 없어?난 눈썹이 진해서 안해도 돼 하하
140,일반 대화,응 맞아! 할아버지는 애기가 뛸 수도 있지 자기는 신경 쓰지 말라고 편지를 쓰고 갔대!역시 어른이라 이해를 잘 해주는구나 굳
141,일반 대화,아 힙합 잘 안 들으면 1분1초 이 노래가 더 취향일 거 같아.그건 나도 들어봤어.
142,일반 대화,넌 이번 여름이 더웠어 아니면 작년이 더 더웠어?난 작년이 더 더웠던거 같아 ㅜㅜ 너는?
143,일반 대화,아하. 그러면 닌텐도 게임 해본 적 없겠다.사촌들꺼나 친구들꺼로는 해봤어.
144,일반 대화,일교차가 심해서 감기걸리기 딱 좋아.나 안그래도 어제부터 콧물 나와.
145,일반 대화,그래도 거기도 오픈빨이라 그런가 줄서서 사더라!와 그 정도야?/인기 진짜 많다
146,일반 대화,결혼을 할 생각이 있어?나는 아직 결혼 생각이 없어.
147,일반 대화,그럼 비비큐는? 하하비비큐는 못봐주지
148,일반 대화,매장의 이익도 좋지만 좀 더 많은 사람들이 쉽게 키오스크 사용할 수 있게 하는 방법이 필요할 것 같아.요즘 할머니들도 카드를 쓰는 것처럼 시간이 지나면 많이 적응하실 수 있을 거야./사회적으로 좀 더 키오스크 사용법을 안내할 필요가 있어 보여.
149,일반 대화,난 오징어게임보고 정호연한테 빠졌어 하하나도 이번에 오징어게임에서 그 배우 처음 봤는데 연기 잘 하더라 하하
150,일반 대화,응. 열심히 했는데 성적이 안나오면 안돼.맞아. 그거만큼 억울한 일도 없을거야.
151,일반 대화,그것도 좋지만 주요 지역으로 가는 교통편이 많아지면 좋겠어환승하거나 돌아가지 않도록 말이구나
152,일반 대화,어딜 넘어가?제모
153,일반 대화,이제 코로나 풀리면 그쪽이 또 뜨니까 하하하하 맞아 그리고 여행은 언제나 옳으니까!
154,일반 대화,그럼 그건 패스ㅋㅋ 아니 그래서 러그는 살 거가?/어디 껀지 알아봐줄까?
155,일반 대화,밥 걱정은 안 했었겠네.응 근데 그때 살이 너무 쪘어서.
156,일반 대화,흠... 이놈그거실장이원래 자기쓴다해서 내가 선물해줫거든
157,일반 대화,당연하지 하하 맛집 미리 찾아 놔~그럼 그럼 내가 또 네이버 검색 엄청 해야지 ㅋㅋ
158,일반 대화,그건 어느 방송사에서 하는데?넷플릭스 알아?!/거기서 하는 거야
159,일반 대화,맞아 내가 선생님이라면 아이들이 대들 때 못 참을 것 같아그니까 요즘 선생님들이 참 고생이야
160,일반 대화,아침에 srt 추석 예매 대실패~와 그거 들어가면 대기시간 얼마나 나와?
161,일반 대화,아니 에어랩 방송하면 진짜 사고  싶음하하 나는 이번에 샀지롱
162,일반 대화,ㅋㅋ 아 넘 머싯... 미술 선생님이라던가취미도 멋있고... 장발 최고 잘 어울려
163,일반 대화,서울에 디저트 카페 가보자오 진짜 가자 ㅜㅜ
164,일반 대화,강아지나 고양이 키우니?둘 다 키워
165,일반 대화,오늘 책 한 권 다 읽었어.무슨 책 읽었어?
166,일반 대화,그렇다고 하는구나보이차 효능이 대단하네요
167,일반 대화,빅뱅은 요즘 곡이 안나오네샤이니 앨범은 시세가 비싸졌어
168,일반 대화,허쉬초코쿠키 좋아하지만...잘가라...ㅜㅜ 아 진짜...쿠키를 그렇게 다 통에 두는거는 처음본다 ㅋㅋ
169,일반 대화,몇 시간 있다 나와야 해?그런 건 딱히 정해져 있는 거 같지 않아!
170,일반 대화,그럼 오랜만에 같이 치맥 할까?~좋지~/치킨 어디서 먹을까
171,일반 대화,알아보는 게 낫겠다 그치? ㅠㅠ웅 어디서 많이 나왔는지 고지서 먼저 봐바!
172,일반 대화,맞아 토독토독 소리나서 들으면 맘이 편해져나도 그 소리 들으면 잠이 잘 오더라
173,일반 대화,"그래서 오토바이의 주행이 많아진 요즘 번호판을 앞 부분에도 부작하는 게 필요해보여그러게 말이야, 그렇게 된다면 사람들도 조금은 교통 법규를 지키려고 할텐데"
174,일반 대화,ㅋㅋ 저번에는 나가 산다더니 결국...와... 희소식을 기대했는데... 배드뉴스네...
175,일반 대화,그래서 수강신청 할 때는 PC방에 갔던 기억이 나그랬구나… 하긴 무선은 감수해야 하는 위험이 있지
176,일반 대화,논산이 규모가 커.그래서 유명하구나.
177,일반 대화,그렇지 너는 제안 오면 할 거야?나는 뭔가 그렇게 죽고 싶지는 않아
178,일반 대화,나도 뉴스에서 보고 깜짝 놀랐어왜 놀랐어? 무인 상점은 그런 일이 충분히 일어날 수 있는 곳이잖아
179,일반 대화,아 너는 이해할만하다는 입장이니?우리 고모가 백신 맞고 쓰러져서 무서운 건 이해가 가
180,일반 대화,그래 이따 집에 가서 꼭 잘 먹어야 해근데 비타민은 우리 건강에 어떤 도움이 되는거야?
181,일반 대화,지하철이 아무래도 빠르니까내가 인천에 살아서 그렇게 생각했나봐
182,일반 대화,전자담배인데도 그런게 있는것인가비흡연자인 언니한테는 안좋았을거야/응응 당연하지~!
183,일반 대화,그런가봐. 강아지는 그러면 막 눈치보잖아 ㅋㅋ응 ㅜㅜ 고양이는 키울 엄두가 안나ㅜㅜ
184,일반 대화,한번 받을때 거의 백만원돈이라매아 유튜브에 그런거 체험영상 있더라
185,일반 대화,너무 무섭더라빨리 녹아서?
186,일반 대화,그거 집에서 집에서 키우는 키드 있을걸?응 한번 알아보려고 해 ㅋㅋ
187,일반 대화,이 계절에 넘 필요템 ㅋㅋㅋㅋ 다른 거 시중에 나온 거 좋은 거 많어.../걍 올리브영 가셈\
188,일반 대화,며칠이나 있을 예정이야?2박3일 예정이야
189,일반 대화,바꾸고싶어도 살게없어엘지는 엔조이용이라구
190,일반 대화,응 세무가 조금 더 어려워왜?
191,일반 대화,요즘 공부하는 거 있어?나 토익 공부 시작했어
192,일반 대화,근데 고인물만 있어서 이기기 쉽지 않더라.재밌게 데이트 했으면 됐지 뭐~
193,일반 대화,엥 오빠가 부려 먹지 않을까? 하하다정한 오빠였으면 좋겠다...
194,일반 대화,응 내마음대로 흘러가는 적이 드물었던 것 같아.ㅋㅋ 하긴 그럴수도 있겠다.
195,일반 대화,난 주로 지는 편이었어.집에 종이가 안 남아 났겠다.
196,일반 대화,비타민같은거 매일 잘챙겨 먹어야 할거같아오 요즘 어떤게 안좋아...!
197,일반 대화,한시간정도 회의해?아 내가 설명할거는 얼마 안걸리는데.../스케줄 짤거 있어서 그거 좀 시간 걸릴듯
198,일반 대화,오빠있으면 좋은 점 있어?오빠가 잘 놀아줬어 어릴 때
199,일반 대화,어디간걸까다들 폐차 ㅠㅠ
200,일반 대화,응 그대신 네 사진도 상대한테 보여주려고 하는데 몇 장 보내주라그래 근데 그 사람 나이는 몇 살이야?
201,일반 대화,사료 산거 애들이 별로 안좋아하는거 같아 ㅠㅠ사료? 원래 사던거 안샀어?
202,일반 대화,"스크런치 5개, 마리띠 2개, 머리집게 2개 이렇게 샀지.이 언니 한 번에 엄청 샀네."
203,일반 대화,신차 구매 하고 싶어.돈은 있어?
204,일반 대화,나도 아직 안봤는데 같이 보러갈래?그래 근데 이거 찾아보니까 2020년 영화인데 재개봉해?
205,일반 대화,왜 이제 주냐고 열 받는다고 아까 머라하더라 ㅋㅋ 여고생들이 써준 쪽지 자랑했어야 했나봄 ㅋㅋ아 진짜 웃기다 ㅋㅋ 그때 니가 너네오빠 배 타고 그랬다했던것같은 기억난다
206,일반 대화,나 요즘 무도 보잖아엉엉 알지알지
207,일반 대화,하하 또 그 날씨에 맞는 옷을 입을 수 있으니까응응 빨리 가을옷 입구시퍼
208,일반 대화,양궁하는 김제덕 선수 별명 너무 귀엽더라아 주먹밥쿵야?
209,일반 대화,내일도 오전에 비구나... 우산 잘챙기자어어.오늘 오후에도 비온다고 해서 우산 챙겼다
210,일반 대화,신혼을 좀 즐기려고좋은 생각이야 한 2년정도 후에 낳아~
211,일반 대화,ㅋㅋ 계속따당이래방금도ㅡㅡ후 렉걸려서 안떳는데 뉴르니까 이미 참여했다고 나오거든/ㅋㅋ 당첨안된거겠지?
212,일반 대화,요새 진짜 가을 된 거 실감해나두 거리마다 은행 엄청 많아
213,일반 대화,버스비 올랐지? 1500원인가?응 현금은 1500원 카드는 1450원!/너는 버스 자주 타?
214,일반 대화,아하 막 하와이 같은 곳?응응 릴렉스할 수 있는 곳 하하
215,일반 대화,그러니까 나중에 나갈 때 물어 줘야하니 ㅠㅠ지금 사는 집은 다세대 주택인데 엘리베이터가 없어 휴...ㅠ
216,일반 대화,크기도 ㅋㅋ 양도 ㅋㅋ 스테이크 땡긴다우와 어디야 ? 스테이크 가성비 내려온다
217,일반 대화,응! 내가 스위치 신형 응모를 했는데 당첨이라서 너 집에 있는 거 써도 될 거 같아~아 진짜? 오빠도 확실히 당첨 운이 있어서 잘 붙네~
218,일반 대화,아 나 눈썹 정리해야 하는데 귀찮다!아 나도 눈썹 정리해야 되는데 ㅠㅠ
219,일반 대화,내 친구네 포도가 너무 많이 생겨서 고민이래.포도농사 하신대?
220,일반 대화,그냥 허리 찜질 하는 돌 같은 거야아아 신기하다
221,일반 대화,모르겠어 병원에서 그런 건 말 안 해주더라고진짜 답답한 거 알아서 마음아프다 ㅠ
222,일반 대화,그거 능력이 어떻게 돼?잘 기억이 안 나네 ㅋㅋ 너무 오래됐다
223,일반 대화,맞아 바람이 좀 덜 한 것 같아이정도 날씨는 그래도 견딜만 한 것 같아
224,일반 대화,그래서 트럼프 전 대통령의 임기 전에 100만명이던 이민자가 절반으로 줄었다고 해그래? 그러면 바라던 대로 이민자가 줄어서 좋은 것 아니야?
225,일반 대화,아 에어컨은 오늘 못틀겠더라 오전에 잠깐 틀었다 껐다나도 에어컨 틀었다가 끔 ㅋㅋ
226,일반 대화,그래? 나도 좀 관리해야겠어 머릿결 너무 안 좋아그래! 귀찮아도 우리도 좀 가꾸면서 살자!
227,일반 대화,뭐야 엄청 일찍 마치네?ㅋㅋ 여덟 시부터 다섯 시 ㅋㅋ 잔업이 없으면 ㅋ
228,일반 대화,"약간 남색에 가까운 색?맞아, 겨울은 더 맑아"
229,일반 대화,헐 영구가 아니라니 비싼데 고민이네너 정도면 매력이지/나는 주근깨 여왕이었구
230,일반 대화,그니까 ㅠㅠ 그래서 못시켜먹음아님 시켜도 냉동일듯...
231,일반 대화,괜히 샀다가 냉동실이 좁으면?치즈같은 것들은 부피 안크니까 사자.
232,일반 대화,이제 다 광고가 붙어광고는 어쩔수 없지
233,일반 대화,트리트먼트 해도 소용 없다 ㅜㅜ머리가 왜상하는지 모르겠어
234,일반 대화,아 맞아 나도 그 얘기 들었어.게다가 혜택도 적어진다니 망설여지네
235,일반 대화,나는 수능 또 보라고 하면 절대 못 볼 것 같아.수능 한 번으로 인생이 달라질 수도 있는 거잖아.
236,일반 대화,전 이번 달도 택시비가 카드값 반입니다요 ㅋㅋ헐랭 ㅠㅠ 진짜 은근 교통비가 많이 들어요... ㅠㅠ
237,일반 대화,겨울에는 비염이 덜 심하지?건조하면 또 가끔 비염 심할 때 있어 !
238,일반 대화,요즘 웹툰 드라마화 하는 거 진짜 많다ㅁㅈ 요즘 윰세포 보는 중
239,일반 대화,"벌써 빼빼로 데이가 코 앞인 거 알고 있어?오, 벌써 10월도 다 지나가네. 시간 참 빠르다"
240,일반 대화,난 액션영화 좋아해 ㅋㅋ 분노의질주 이런거헉 완전 남자 영화 좋아하는구나? ㅋㅋ/추천이 어렵겠는 걸...
